"Nº ONU (1)","Nome e Descrição (2)","Classe ou Subclasse de Risco (3)","Risco Subsi- diário (4)","Nº de Risco (5)","Grupo de Emb. (6)","Provisões Especiais (7)","Quant. Limitada por","","Embalagens e IBCs","","Tanques Portáteis e Contentores para Granéis",""
"0342","NITROCELULOSE, UMEDECIDA com no mínimo 25% de álcool, em massa †","1.3C","","","","105","20","ZERO","P114 (a)","PP43","",""
"0343","NITROCELULOSE, PLASTIFICADA com no mínimo 18% de substância plastificante, em massa †","1.3C","","","","105","20","ZERO","P111","","",""
"0344","PROJÉTEIS com carga de ruptura †","1.4D","","","","","333","ZERO","P130
LP101","PP67
L1","",""
"0345","PROJÉTEIS inertes, com traçante †","1.4S","","","","","ILIMITADA","ZERO","P130
LP101","PP67
L1","",""
"0346","PROJÉTEIS com ruptor ou carga ejetora †","1.2D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0347","PROJÉTEIS com ruptor ou carga ejetora †","1.4D","","","","","333","ZERO","P130
LP101","PP67
L1","",""
"0348","CARTUCHOS PARA ARMAS com carga de ruptura †","1.4F","","","","","333","ZERO","P130","","",""
"0349","ARTIGOS, EXPLOSIVOS, N.E.","1.4S","","","","178
274","ILIMITADA","ZERO","P101","","",""
"0350","ARTIGOS, EXPLOSIVOS, N.E.","1.4B","","","","178
274","333","ZERO","P101","","",""
"0351","ARTIGOS, EXPLOSIVOS, N.E.","1.4C","","","","178
274","333","ZERO","P101","","",""
"0352","ARTIGOS, EXPLOSIVOS, N.E.","1.4D","","","","178
274","333","ZERO","P101","","",""
"0353","ARTIGOS, EXPLOSIVOS, N.E.","1.4G","","","","178
274","333","ZERO","P101","","",""
"0354","ARTIGOS, EXPLOSIVOS, N.E.","1.1L","","","","178
274","ZERO","ZERO","P101","","",""
"0355","ARTIGOS, EXPLOSIVOS, N.E.","1.2L","","","","178
274","ZERO","ZERO","P101","","",""
"0356","ARTIGOS, EXPLOSIVOS, N.E.","1.3L","","","","178
274","ZERO","ZERO","P101","","",""
"0357","SUBSTÂNCIAS, EXPLOSIVAS, N.E.","1.1L","","","","178
274","ZERO","ZERO","P101","","",""
"0358","SUBSTÂNCIAS, EXPLOSIVAS, N.E.","1.2L","","","","178
274","ZERO","ZERO","P101","","",""
"0359","SUBSTÂNCIAS, EXPLOSIVAS, N.E.","1.3L","","","","178
274","ZERO","ZERO","P101","","",""
"0360","DETONADORES CONJUNTOS MONTADOS, NÃO ELÉTRICOS para demolição †","1.1B","","","","","20","ZERO","P131","","",""
"0361","DETONADORES CONJUNTOS MONTADOS, NÃO ELÉTRICOS para demolição †","1.4B","","","","","333","ZERO","P131","","",""
"0362","MUNIÇÃO, PARA EXERCÍCIO †","1.4G","","","","","333","ZERO","P130
LP101","PP67
L1","",""
"0363","MUNIÇÃO, PARA PROVA †","1.4G","","","","","333","ZERO","P130
LP101","PP67
L1","",""
"0364","DETONADORES PARA MUNIÇÃO †","1.2B","","","","","20","ZERO","P133","","",""
"0365","DETONADORES PARA MUNIÇÃO †","1.4B","","","","","333","ZERO","P133","","",""
"0366","DETONADORES PARA MUNIÇÃO †","1.4S","","","","347","ILIMITADA","ZERO","P133","","",""
"0367","ESTOPILHA, DE DETONAÇÃO †","1.4S","","","","","ILIMITADA","ZERO","P141","","",""
"0368","ESTOPILHA, DE IGNIÇÃO †","1.4S","","","","","ILIMITADA","ZERO","P141","","",""
"0369","OGIVAS, DE FOGUETES com carga de ruptura †","1.1F","","","","","20","ZERO","P130","","",""
"0370","OGIVAS, DE FOGUETES com ruptor ou carga ejetora †","1.4D","","","","","333","ZERO","P130
LP101","PP67
L1","",""
"0371","OGIVAS, DE FOGUETES com ruptor ou carga ejetora †","1.4F","","","","","333","ZERO","P130","","",""
"0372","GRANADAS, PARA EXERCÍCIO, manuais ou para fuzil †","1.2G","","","","","20","ZERO","P141","","",""
"0373","SINALIZADORES, MANUAIS †","1.4S","","","","","ILIMITADA","ZERO","P135","","",""
"0374","DISPOSITIVOS DE SONDAGEM, EXPLOSIVOS †","1.1D","","","","","20","ZERO","P134","","",""
"","","","","","","","","","LP102","","",""
"0375","DISPOSITIVOS DE SONDAGEM, EXPLOSIVOS †","1.2D","","","","","20","ZERO","P134
LP102","","",""
"0376","INICIADORES, TUBULARES †","1.4S","","","","","ILIMITADA","ZERO","P133","","",""
"0377","INICIADORES, TIPO CÁPSULA †","1.1B","","","","","20","ZERO","P133","","",""
"0378","INICIADORES, TIPO CÁPSULA †","1.4B","","","","","333","ZERO","P133","","",""
"0379","ESTOJOS, DE CARTUCHOS, VAZIOS, COM INICIADOR †","1.4C","","","","","333","ZERO","P136","","",""
"0380","ARTIGOS, PIROFÓRICOS †","1.2L","","","","","ZERO","ZERO","P101","","",""
"0381","CARTUCHOS, PARA DISPOSITIVO MECÂNICO †","1.2C","","","","","20","ZERO","P134
LP102","","",""
"0382","EXPLOSIVOS, COMPONENTES DE CADEIA, N.E. †","1.2B","","","","178
274","20","ZERO","P101","","",""
"0383","EXPLOSIVOS, COMPONENTES DE CADEIA, N.E. †","1.4B","","","","178
274","333","ZERO","P101","","",""
"0384","EXPLOSIVOS, COMPONENTES DE CADEIA, N.E. †","1.4S","","","","178
274","ILIMITADA","ZERO","P101","","",""
"0385","5-NITROBENZOTRIAZOL †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0386","ÁCIDO TRINITROBENZENOSSULFÔNICO †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","PP26","",""
"0387","TRINITROFLUORENONA †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0388","MISTURA DE TRINITROTOLUENO (TNT) E TRINITRO-BENZENO, ou MISTURA DE TRINITROTOLUENO (TNT) E HEXANITROESTILBENO †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0389","MISTURA DE TRINITROTOLUENO (TNT) CONTENDO TRINITROBENZENO E HEXANITROESTILBENO †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0390","TRITONAL †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0391","CICLOTRIMETILENOTRINITRAMINA                   (CICLONITA;                   HEXOGÊNIO;                   RDX),                   E CICLOTETRAMETILENOTETRANITRAMINA (HMX; OCTOGÊNIO) MISTURA, UMEDECIDA com no mínimo 15% de água,      em      massa,      ou      CICLOTRIMETILENOTRINITRAMINA      (CICLONITA;      HEXOGÊNIO;      RDX)      E CICLOTETRAMETILENOTETRANITRAMINA  (HMX;  OCTOGÊNIO)  MISTURA  INSENSIBILIZADA  com  no  mínimo
10% de insensibilizante, em massa †","1.1D","","","","266","20","ZERO","P112 (a) ou (b)","","",""
"0392","HEXANITROESTILBENO †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0393","HEXOTONAL †","1.1D","","","","","20","ZERO","P112 (b)","","",""
"0394","TRINITRO-RESORCINOL  (ÁCIDO  ESTIFÍNICO),  UMEDECIDO  com  no  mínimo  20%  de  água,  ou  mistura  de  álcool e água, em massa †","1.1D","","","","","20","ZERO","P112 (a)","PP26","",""
"0395","MOTORES DE FOGUETES, COM COMBUSTÍVEL LÍQUIDO †","1.2J","","","","","20","ZERO","P101","","",""
"0396","MOTORES DE FOGUETES, COM COMBUSTÍVEL LÍQUIDO †","1.3J","","","","","20","ZERO","P101","","",""
"0397","FOGUETES, COM COMBUSTÍVEL LÍQUIDO com carga de ruptura †","1.1J","","","","","20","ZERO","P101","","",""
"0398","FOGUETES, COM COMBUSTÍVEL LÍQUIDO com carga de ruptura †","1.2J","","","","","20","ZERO","P101","","",""
"0399","BOMBAS COM LÍQUIDO INFLAMÁVEL com carga de ruptura †","1.1J","","","","","20","ZERO","P101","","",""
"0400","BOMBAS COM LÍQUIDO INFLAMÁVEL com carga de ruptura †","1.2J","","","","","20","ZERO","P101","","",""
"0401","SULFETO DE DIPICRILA, seco ou umedecido com menos de 10% de água, em massa †","1.1D","","","","","20","ZERO","P112 (a), (b) ou (c)","","",""
"0402","PERCLORATO DE AMÔNIO †","1.1D","","","","152","20","ZERO","P112 (b) ou (c)","","",""
"0403","FACHOS DE SINALIZAÇÃO, AÉREOS †","1.4G","","","","","333","ZERO","P135","","",""
"0404","FACHOS DE SINALIZAÇÃO, AÉREOS †","1.4S","","","","","ILIMITADA","ZERO","P135","","",""
"0405","CARTUCHOS, PARA SINALIZAÇÃO †","1.4S","","","","","ILIMITADA","ZERO","P135","","",""
"0406","DINITROSOBENZENO †","1.3C","","","","","20","ZERO","P114 (b)","","",""
"0407","ÁCIDO TETRAZOL-1-ACÉTICO †","1.4C","","","","","333","ZERO","P114 (b)","","",""
"0408","ESTOPILHAS, DE DETONAÇÃO, com dispositivo de proteção †","1.1D","","","","","20","ZERO","P141","","",""
"0409","ESTOPILHAS, DE DETONAÇÃO, com dispositivo de proteção †","1.2D","","","","","20","ZERO","P141","","",""
"0410","ESTOPILHAS, DE DETONAÇÃO, com dispositivo de proteção †","1.4D","","","","","333","ZERO","P141","","",""
"0411","TETRANITRATO DE PENTAERITRITA (TETRANITRATO DE PENTAERITRITOL; PETN) com no mínimo 7% de cera,
em massa †","1.1D","","","","131","20","ZERO","P112 (b) ou (c)","","",""
"0412","CARTUCHOS PARA ARMAS com carga de ruptura †","1.4E","","","","","333","ZERO","P130
LP101","PP67
L1","",""
"0413","CARTUCHOS PARA ARMAS, FESTIM †","1.2C","","","","","20","ZERO","P130","","",""
"0414","CARGAS, PROPELENTES, PARA CANHÃO †","1.2C","","","","","20","ZERO","P130","","",""
"0415","CARGAS, PROPELENTES †","1.2C","","","","","20","ZERO","P143","PP76","",""
"0417","CARTUCHOS PARA ARMAS, PROJÉTEIS INERTES ou CARTUCHOS, PARA ARMAS PORTÁTEIS †","1.3C","","","","","20","ZERO","P130","","",""
"0418","FACHOS DE SINALIZAÇÃO, SUPERFÍCIE †","1.1G","","","","","20","ZERO","P135","","",""
"0419","FACHOS DE SINALIZAÇÃO, SUPERFÍCIE †","1.2G","","","","","20","ZERO","P135","","",""
"0420","FACHOS DE SINALIZAÇÃO, AÉREOS †","1.1G","","","","","20","ZERO","P135","","",""
"0421","FACHOS DE SINALIZAÇÃO, AÉREOS †","1.2G","","","","","20","ZERO","P135","","",""
"0424","PROJÉTEIS, inertes com traçante †","1.3G","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0425","PROJÉTEIS, inertes com traçante †","1.4G","","","","","333","ZERO","P130
LP101","PP67
L1","",""
"0426","PROJÉTEIS com ruptor ou carga ejetora †","1.2F","","","","","20","ZERO","P130","","",""
"0427","PROJÉTEIS com ruptor ou carga ejetora †","1.4F","","","","","333","ZERO","P130","","",""
"0428","ARTIGOS, PIROTÉCNICOS para fins técnicos †","1.1G","","","","","20","ZERO","P135","","",""
"0429","ARTIGOS, PIROTÉCNICOS para fins técnicos †","1.2G","","","","","20","ZERO","P135","","",""
"0430","ARTIGOS, PIROTÉCNICOS para fins técnicos †","1.3G","","","","","20","ZERO","P135","","",""
"0431","ARTIGOS, PIROTÉCNICOS para fins técnicos †","1.4G","","","","","333","ZERO","P135","","",""
"0432","ARTIGOS, PIROTÉCNICOS para fins técnicos †","1.4S","","","","","ILIMITADA","ZERO","P135","","",""
"0433","PÓLVORA EM PASTA, UMEDECIDA com no mínimo 17% de álcool, em massa †","1.1C","","","","266","20","ZERO","P111","","",""
"0434","PROJÉTEIS com ruptor ou carga ejetora †","1.2G","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0435","PROJÉTEIS com ruptor ou carga ejetora †","1.4G","","","","","333","ZERO","P130
LP101","PP67
L1","",""
"0436","FOGUETES com carga ejetora †","1.2C","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0437","FOGUETES com carga ejetora †","1.3C","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0438","FOGUETES com carga ejetora †","1.4C","","","","","333","ZERO","P130
LP101","PP67
L1","",""
"0439","CARGAS, MOLDADAS sem detonador †","1.2D","","","","","20","ZERO","P137","PP70","",""
"0440","CARGAS, MOLDADAS sem detonador †","1.4D","","","","","333","ZERO","P137","PP70","",""
"0441","CARGAS, MOLDADAS sem detonador †","1.4S","","","","347","ILIMITADA","ZERO","P137","PP70","",""
"0442","CARGAS, EXPLOSIVAS, COMERCIAIS sem detonador †","1.1D","","","","","20","ZERO","P137","","",""
"0443","CARGAS, EXPLOSIVAS, COMERCIAIS sem detonador †","1.2D","","","","","20","ZERO","P137","","",""
"0444","CARGAS, EXPLOSIVAS, COMERCIAIS sem detonador †","1.4D","","","","","333","ZERO","P137","","",""
"0445","CARGAS, EXPLOSIVAS, COMERCIAIS sem detonador †","1.4S","","","","347","ILIMITADA","ZERO","P137","","",""
"0446","ESTOJOS, COMBUSTÍVEIS, VAZIOS, SEM INICIADOR †","1.4C","","","","","333","ZERO","P136","","",""
"0447","ESTOJOS, COMBUSTÍVEIS, VAZIOS, SEM INICIADOR †","1.3C","","","","","20","ZERO","P136","","",""
"0448","ÁCIDO 5-MERCAPTOTETRAZOL-1-ACÉTICO †","1.4C","","","","","333","ZERO","P114 (b)","","",""
"0449","TORPEDOS, COM COMBUSTÍVEL LÍQUIDO com ou sem carga de ruptura †","1.1J","","","","","20","ZERO","P101","","",""
"0450","TORPEDOS, COM COMBUSTÍVEL LÍQUIDO com ogiva inerte †","1.3J","","","","","20","ZERO","P101","","",""
"0451","TORPEDOS com carga de ruptura †","1.1D","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0452","GRANADAS, PARA EXERCÍCIO, manuais ou para fuzil †","1.4G","","","","","333","ZERO","P141","","",""
"0453","FOGUETES, PARA LANÇAMENTO DE LINHA †","1.4G","","","","","333","ZERO","P130","","",""
"0454","ACENDEDORES †","1.4S","","","","","ILIMITADA","ZERO","P142","","",""
"0455","DETONADORES, NÃO ELÉTRICOS para demolição †","1.4S","","","","347","ILIMITADA","ZERO","P131","PP68","",""
"0456","DETONADORES, ELÉTRICOS para demolição †","1.4S","","","","347","ILIMITADA","ZERO","P131","","",""
"0457","CARGAS, DE RUPTURA, COM AGLUTINANTE PLÁSTICO †","1.1D","","","","","20","ZERO","P130","","",""
"0458","CARGAS, DE RUPTURA, COM AGLUTINANTE PLÁSTICO †","1.2D","","","","","20","ZERO","P130","","",""
"0459","CARGAS, DE RUPTURA, COM AGLUTINANTE PLÁSTICO †","1.4D","","","","","333","ZERO","P130","","",""
"0460","CARGAS, DE RUPTURA, COM AGLUTINANTE PLÁSTICO †","1.4S","","","","347","ILIMITADA","ZERO","P130","","",""
"0461","EXPLOSIVOS, COMPONENTES DE CADEIA, N.E. †","1.1B","","","","178
274","20","ZERO","P101","","",""
"0462","ARTIGOS, EXPLOSIVOS, N.E.","1.1C","","","","178
274","20","ZERO","P101","","",""
"0463","ARTIGOS, EXPLOSIVOS, N.E.","1.1D","","","","178
274","20","ZERO","P101","","",""
"0464","ARTIGOS, EXPLOSIVOS, N.E.","1.1E","","","","178
274","20","ZERO","P101","","",""
"0465","ARTIGOS, EXPLOSIVOS, N.E.","1.1F","","","","178
274","20","ZERO","P101","","",""
"0466","ARTIGOS, EXPLOSIVOS, N.E.","1.2C","","","","178
274","20","ZERO","P101","","",""
"0467","ARTIGOS, EXPLOSIVOS, N.E.","1.2D","","","","178
274","20","ZERO","P101","","",""
"0468","ARTIGOS, EXPLOSIVOS, N.E.","1.2E","","","","178
274","20","ZERO","P101","","",""
"0469","ARTIGOS, EXPLOSIVOS, N.E.","1.2F","","","","178
274","20","ZERO","P101","","",""
"0470","ARTIGOS, EXPLOSIVOS, N.E.","1.3C","","","","178
274","20","ZERO","P101","","",""
"0471","ARTIGOS, EXPLOSIVOS, N.E.","1.4E","","","","178
274","333","ZERO","P101","","",""
"0472","ARTIGOS, EXPLOSIVOS, N.E.","1.4F","","","","178
274","333","ZERO","P101","","",""
"0473","SUBSTÂNCIAS, EXPLOSIVAS, N.E.","1.1A","","","","178
274","ZERO","ZERO","P101","","",""
"0474","SUBSTÂNCIAS, EXPLOSIVAS, N.E.","1.1C","","","","178
274","20","ZERO","P101","","",""
"0475","SUBSTÂNCIAS, EXPLOSIVAS, N.E.","1.1D","","","","178
274","20","ZERO","P101","","",""
"0476","SUBSTÂNCIAS, EXPLOSIVAS, N.E.","1.1G","","","","178
274","20","ZERO","P101","","",""
"0477","SUBSTÂNCIAS, EXPLOSIVAS, N.E.","1.3C","","","","178
274","20","ZERO","P101","","",""
"0478","SUBSTÂNCIAS, EXPLOSIVAS, N.E.","1.3G","","","","178
274","20","ZERO","P101","","",""
"0479","SUBSTÂNCIAS, EXPLOSIVAS, N.E.","1.4C","","","","178","333","ZERO","P101","","",""
"","","","","","","274","","","","","",""
"0480","SUBSTÂNCIAS, EXPLOSIVAS, N.E.","1.4D","","","","178
274","333","ZERO","P101","","",""
"0481","SUBSTÂNCIAS, EXPLOSIVAS, N.E.","1.4S","","","","178
274","ILIMITADA","ZERO","P101","","",""
"0482","SUBSTÂNCIAS, EXPLOSIVAS, MUITO INSENSÍVEIS (SUBSTÂNCIAS, EMI), N.E. †","1.5D","","","","178
274","20","ZERO","P101","","",""
"0483","CICLOTRIMETILENO TRINITRAMINA (CICLONITA; HEXOGÊNIO; RDX), INSENSIBILIZADA","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0484","CICLOTETRAMETILENO TETRANITRAMINA (HMX; OCTOGÊNIO), INSENSIBILIZADA","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0485","SUBSTÂNCIAS, EXPLOSIVAS, N.E.","1.4G","","","","178
274","333","ZERO","P101","","",""
"0486","ARTIGOS, EXPLOSIVOS, EXTREMAMENTE INSENSÍVEIS (ARTIGOS, EEI) †","1.6N","","","","","333","ZERO","P101","","",""
"0487","SINALIZADORES, DE FUMAÇA †","1.3G","","","","","20","ZERO","P135","","",""
"0488","MUNIÇÃO, PARA EXERCÍCIO †","1.3G","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0489","DINITROGLICOLURILA (DINGU) †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0490","NITROTRIAZOLONA (NTO) †","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0491","CARGAS, PROPELENTES †","1.4C","","","","","333","ZERO","P143","PP76","",""
"0492","SINALIZADORES, PARA VIAS FÉRREAS, EXPLOSIVOS †","1.3G","","","","","20","ZERO","P135","","",""
"0493","SINALIZADORES, PARA VIAS FÉRREAS, EXPLOSIVOS †","1.4G","","","","","333","ZERO","P135","","",""
"0494","CANHÕES PARA JATO-PERFURAÇÃO em poços de petróleo, CARREGADOS, sem detonador †","1.4D","","","","","333","ZERO","P101","","",""
"0495","PROPELENTE, LÍQUIDO †","1.3C","","","","224","20","ZERO","P115","PP53 PP54 PP57
PP58","",""
"0496","OCTONAL","1.1D","","","","","20","ZERO","P112 (b) ou (c)","","",""
"0497","PROPELENTE, LÍQUIDO †","1.1C","","","","224","20","ZERO","P115","PP53 PP54 PP57
PP58","",""
"0498","PROPELENTE, SÓLIDO †","1.1C","","","","","20","ZERO","P114 (b)","","",""
"0499","PROPELENTE, SÓLIDO †","1.3C","","","","","20","ZERO","P114 (b)","","",""
"0500","DETONADORES CONJUNTOS MONTADOS, NÃO ELÉTRICOS para demolição †","1.4S","","","","347","ILIMITADA","ZERO","P131","","",""
"0501","PROPELENTE, SÓLIDO †","1.4C","","","","","333","ZERO","P114 (b)","","",""
"0502","FOGUETES com ogiva inerte †","1.2C","","","","","20","ZERO","P130
LP101","PP67
L1","",""
"0503","DISPOSITIVOS DE SEGURANÇA, PIROTÉCNICOS †","1.4G","","","","235
289","333","ZERO","P135","","",""
"0504","IH-TETRAZOL","1.1D","","","","","20","ZERO","P112 (c)","PP48","",""
"0505","SINAIS DE SOCORRO, para barcos †","1.4G","","","","","333","ZERO","P135","","",""
"0506","SINAIS DE SOCORRO, para barcos †","1.4S","","","","","ILIMITADA","ZERO","P135","","",""
"0507","SINAIS, FUMÍGENOS †","1.4S","","","","","ILIMITADA","ZERO","P135","","",""
"0508","1- HODROXIBENZOTRIAZOL, ANIDRO, seco ou umidificado com menos de 20% de água, em massa","1.3C","","","","","20","ZERO","P114 (b)","PP48","",""
"","","","","","","","","","","PP50","",""
"0509","PÓLVORA, SEM FUMAÇA†","1.4C","","","","","333","ZERO","P114 (b)","PP48","",""
"0510","MOTORES DE FOGUETES†","1.4C","","","","","333","ZERO","P130","PP67","",""
"","","","","","","","","","LP101","L1","",""
"1001","ACETILENO, DISSOLVIDO","2.1","","239","","","333","ZERO","P200","","",""
"1002","AR, COMPRIMIDO","2.2","","20","","","1000","120 ml","P200","","",""
"1003","AR, LÍQUIDO REFRIGERADO","2.2","5.1","225","","","1000","ZERO","P203","","T75","TP5
TP22"
"1005","AMÔNIA, ANIDRA","2.3","8","268","","23","20","ZERO","P200","","T50",""
"","","","","","","379","","","","","",""
"1006","ARGÔNIO, COMPRIMIDO","2.2","","20","","378","1000","120 ml","P200","","",""
"1008","TRIFLUORETO DE BORO","2.3","8","268","","373","20","ZERO","P200","","",""
"1009","BROMOTRIFLUORMETANO (GÁS REFRIGERANTE R 13 B1)","2.2","","20","","","1000","120 ml","P200","","T50",""
"1010","BUTADIENOS, ESTABILIZADOS ou BUTADIENOS E MISTURA DE HIDROCARBONETO, ESTABILIZADO, contendo
mais de 40% de butadienos","2.1","","239","","386","333","ZERO","P200","","T50",""
"1011","BUTANO","2.1","","23","","","333","ZERO","P200","","T50",""
"1012","BUTILENO","2.1","","23","","","333","ZERO","P200","","T50",""
"1013","DIÓXIDO DE CARBONO","2.2","","20","","378","1000","120 ml","P200","","",""
"1016","MONÓXIDO DE CARBONO, COMPRIMIDO","2.3","2.1","263","","","20","ZERO","P200","","",""
"1017","CLORO","2.3","5.1","265","","","20","ZERO","P200","","T50","TP19"
"","","","8","","","","","","","","",""
"1018","CLORODIFLUORMETANO (GÁS REFRIGERANTE R 22)","2.2","","20","","","1000","120 ml","P200","","T50",""
"1020","CLOROPENTAFLUORETANO (GÁS REFRIGERANTE R 115)","2.2","","20","","","1000","120 ml","P200","","T50",""
"1021","1-CLORO-1,2,2,2-TETRAFLUORETANO (GÁS REFRIGERANTE R 124)","2.2","","20","","","1000","120 ml","P200","","T50",""
"1022","CLOROTRIFLUOMETANO (GÁS REFRIGERANTE R 13)","2.2","","20","","","1000","120 ml","P200","","",""
"1023","GÁS DE CARVÃO, COMPRIMIDO","2.3","2.1","263","","","20","ZERO","P200","","",""
"1026","CIANOGÊNIO","2.3","2.1","263","","","20","ZERO","P200","","",""
"1027","CICLOPROPANO","2.1","","23","","","333","ZERO","P200","","T50",""
"1028","DICLORODIFLUORMETANO (GÁS REFRIGERANTE R 12)","2.2","","20","","","1000","120 ml","P200","","T50",""
